Tipo de Servicio que se ofrece: ,Años de operación:,¿Cómo te promocionas actualmente?,¿Cómo describes la función de promoción actualmente?,¿Cómo te das a conocer actualmente?,De esos medios: Elige 3 que realmente te traen clientes.,¿Usas alguna app o plataforma para promocionar tu servicio? ¿Cómo ha sido tu experiencia?,Cuéntame un poco sobre tu negocio o servicio. ¿Qué ofreces y a qué tipo de visitantes atiendes normalmente?,¿Cómo es un día normal para ti cuando tienes visitantes o clientes?,¿Hay temporadas donde tienes muchos visitantes y otras donde casi no llegan? ¿Cómo te afecta eso?,Estacionalidad_Categoria,¿Cuál dirías que es el principal problema que enfrentas para atraer más visitantes?,"¿Qué tan fácil o difícil te resulta usar herramientas digitales para promocionarte?
",¿Has tenido alguna mala experiencia con plataformas digitales o redes sociales? ¿Qué pasó?,"Menciona ¿Cuál consideras sería la principal dificultad?
",¿Qué te haría confiar en una plataforma turística del gobierno del estado?,¿Qué tan valioso sería para ti aparecer en una app oficial que recomiende tu servicio a los visitantes?,"Si esa app existiera, ¿qué debería ofrecerte para que realmente la usaras?",¿Qué tan valioso consideras sería aparecer en una app turística oficial?,¿Qué funciones te resultarían más útiles?,En una escal del 1 al 5; donde 1 es nada y 5 totalmente. ¿Qué tanto confiaría en una plataforma que es oficial y gratuita?,"¿Qué tan dispuesto estarías a mantener tu información actualizada (por ejemplo de horarios, precios, fotos)?",¿Qué te motivaría a seguir usando la plataforma en el tiempo?,"Si pudieras pedirle algo a una plataforma turística para apoyar tu negocio, ¿qué sería?
","En una frase, ¿qué esperas de una plataforma turística del estado?"
Artesanías y Comercio,Más de 10 años,Recomendación directa,No siempre veo resultados claros,Ferias,"Ferias, De boca a boca",Sí,Turistas ,Varea la asistencia de turismo ,Si,Variable / Otro,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,Si,Muy valioso,Promoción ,Valioso,Mayor visibilidad,5.0,Muy dispuesto,Otros / Indeciso,Dar a conocer los productos y artesanías ,Beneficios para incrementar ventas 
Artesanías y Comercio,Más de 10 años,No me promociono,Mantener redes sociales es complicado,Ferias,"Recomendaciones, Ferias, De boca a boca",No,Vestidos para niños Dios,20 personas ,"Si, enero ",Variable / Otro,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,Información en general ,Valioso,Promover mis productos ,Valioso,Mayor visibilidad,4.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Promover mi mercancía ,Confianza y seguridad 
Artesanías y Comercio,4–10 años,No me promociono,Me cuesta trabajo atraer visitantes,Otro: Con publicidad que toman en el local,"[""Redes sociales"", ""Ferias"", ""other""] (otro: Publicidad)",No,"Perfumes, duendes, vasos taquilleras, portaretratos","Los turistas acuden con más frecuencia a espacios de diversión, la cabecera es más visitada para ingerir alimentos, hay gente, pero poca es la que compra.","En baja temporada hay muy poca afluenc8a de visitantes, entre semana no hay ventas, los fines poca venta.",Temporada Vacacional,Infraestructura y Acceso,Fácil / Accesible,Malas Reseñas / Gestión de Reputación,Falta de conocimientos digitales,Sería una plataforma oficial en forma permanente,Valioso,"Ver el tipo de mercancía que ofrecen, como llegar al lugar, carreteras, costos. ",Valioso,Recomendaciones a turistas,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),"Promocionar los productos que ellos mismos elaboran, como tasa mágicas, playeras estampadas e imán de madera","Que se refleje mayorafkuencia de turistas, aumentar sus ventas, ubicar el espacio. "
Hospedaje,Más de 10 años,Redes sociales,Las plataformas digitales me ayudan,Plataformas,"Redes sociales, Recomendaciones, Plataformas",Sí,"Hospedaje, ",Variable ,"Temporadas buenas, vacaciones ",Temporada Vacacional,Falta de Recursos / Inversión,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Es confiable ,Valioso,Mis servicios ,Muy valioso,Estadísticas de visitas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Difusión ,Mayor promoción 
Artesanías y Comercio,1–3 años,Redes sociales,No siempre veo resultados claros,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",No,Ropa y básicamente clientela local,Un buen día de venta los lunes día de tianguis,"Días feriados les benefician, desventaja su ubicación. ",Temporada Vacacional,Otro Factor / No Especifica,Regular / Neutro,Sin Malas Experiencias,Falta de visibilidad,"Si se actualizará, permitir puntos de vista, que sea confiable, verificable",Muy valioso,"Alternativas de traslado al lugar, ubicación, ",Muy valioso,Contacto directo con turistas,4.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Recomendaciones,Incrementar clientela.
Artesanías y Comercio,1–3 años,Redes sociales,No siempre veo resultados claros,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",No,"Artesanías, turistas",Ventas mejoran,Se refleja en las ventas,Impacto Económico / Baja Afluencia,Falta de Publicidad / Visibilidad,Regular / Neutro,Sin Malas Experiencias,Falta de conocimientos digitales,Información. Confiable,Muy valioso,"Productos, costos, ubicación, transporte",Muy valioso,Mayor visibilidad,4.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),"Ubicación, costos",Mejorar las ventas
Alimentos y Bebidas,Más de 10 años,No me promociono,No siempre veo resultados claros,Redes sociales,Recomendaciones,No,Botana y dulces,Los días sábados y domingos,La mejor en vaciones,Temporada Vacacional,Falta de Publicidad / Visibilidad,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,Mejor información ,Valioso,Productos que vendo,Neutral,Estadísticas de visitas,5.0,Neutral,Resultados Tangibles (Ventas/Ingresos),Difucion,Mejoría de visitas
Artesanías y Comercio,Más de 10 años,Redes sociales,Mantener redes sociales es complicado,Redes sociales,"Recomendaciones, De boca a boca, Redes sociales",Sí,"Artesanal a los clientes visitantes son de guerra y existen aveces ,,uchos problemas 0aara ofrece el producto ",Días  festivos es donde hay mayor venta,En el gasto familiar,Variable / Otro,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que si sirva para lo que es,Muy valioso,"Mi se3vicio directo de ,miS productos",Nada valioso,Mayor visibilidad,3.0,Dispuesto,Otros / Indeciso,Promoción de los productos,Condianza y que se a legal
Artesanías y Comercio,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,Ferias,"Redes sociales, Recomendaciones, Ferias",Sí,Es un producto artesanal,Muy buena ,En  vacaciones ,Temporada Vacacional,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que sea una Apple confiable,Muy valioso,Disponibilidad,Nada valioso,Mayor visibilidad,4.0,Muy dispuesto,Confianza y Respaldo Institucional,Claridad de difusión ,
Artesanías y Comercio,Más de 10 años,No me promociono,No siempre veo resultados claros,Recomendaciones,"Recomendaciones, Ferias, De boca a boca",No,Turismo nacional ,Domingos ,En los ingresos  y cobro de la entrada,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que sea confiable ,Valioso,Segura ,Valioso,Recomendaciones a turistas,5.0,Poco dispuesto,Otros / Indeciso,Mayor  difusión ,Confiable 
Artesanías y Comercio,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,Recomendaciones,"Recomendaciones, De boca a boca",No,Lo ofrecemos normalmente a turismo nacional el tipo de servicio que bueno y de artesanía que no trabajamos es diversa trabajamos en madera en piedra en tejidos este sería lo que trabajamos,Bueno sí es bueno,El impacto en la economía porque ya no se produce la misma cantidad producimos menos y ganamos menos,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Pues lo primero sería que hubiera una verdadera promoción o una verdadera este difusión de nuestros productos y del municipio,Muy valioso,Confiabilidad y que realmente este hubiera la venta del producto,Muy valioso,Mayor visibilidad,5.0,Muy dispuesto,Otros / Indeciso,Pues sería si es apoyo elegir el equipamiento de mi taller que para que mis labores o mis artesanías puedan un poquito más rápido de su elaboración o con un poquito menos trabajo,
Artesanías y Comercio,Más de 10 años,No me promociono,No siempre veo resultados claros,De boca a boca,"Recomendaciones, Ferias, De boca a boca",No,Bueno aquí atendemos este estudiantes mexicanos extranjeros pero los que en realidad vienen a comprar son los estudiantes y los nacionales casi el extranjero no no nos compra infección por el,Bueno si tenemos buenas ventas ahí ya es donde se ve que hay buenas ventas,Bueno nos afecta Porque no tenemos ventas hay muy poco turismo aquí en tul .,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Bueno pues que realmente funcione y que realmente le hagan promoción a los artesanos inmediato y atender,Muy valioso,Inseguridad primero que nada y que haya buena organización para tener ventas Y qué es lo principal como que entró en la,Muy valioso,Mayor visibilidad,5.0,Muy dispuesto,Otros / Indeciso,Sí que haya buenas promociones y que en ferias y en lugares turísticos se pronuncian las artesanías de aquí de tula,
Actividades y Experiencias,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,Recomendaciones,De boca a boca,Sí,Servicios de transporte ,Mayor asistencia de turismo ,Si,Variable / Otro,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,Su proyección ,Muy valioso,Mayor difusión ,Nada valioso,Contacto directo con turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),"Mayor difusión turista,",Seguridad y confianza 
Artesanías y Comercio,Más de 10 años,Plataformas digitales,Las plataformas digitales me ayudan,Plataformas,"Redes sociales, Ferias, Recomendaciones",Sí,Artesanías y varios productos ,Sábados y domingos ,Si,Variable / Otro,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Falta de visibilidad,"Es seria, si ayuda ",Muy valioso,Promover los productos ,Valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Promoción ,Seguridad y promoción de las artesanías del estado de hidalgo 
Alimentos y Bebidas,Más de 10 años,Recomendación directa,Las plataformas digitales me ayudan,Plataformas,"Redes sociales, Recomendaciones, Plataformas",Sí,Turistas ,Satisfactorio ,Bajan las ventas ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Pocos clientes,La promoción y seriedad ,Muy valioso,Promover mis productos ,Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Difusión ,Beneficios en mi economía 
Hospedaje,4–10 años,Recomendación directa,Las plataformas digitales me ayudan,Ferias,"Redes sociales, Plataformas, Ferias",Sí,Turismo ,Alta en días de vacaciones ,Si,Variable / Otro,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Costos de publicidad,Si,Valioso,Mis servicios ,Valioso,Mayor visibilidad,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Mayor difusión ,Promoción mayor VISITA 
Artesanías y Comercio,1–3 años,Recomendación directa,Me cuesta trabajo atraer visitantes,Recomendaciones,"Recomendaciones, Ferias, De boca a boca",No,Dulces artesanal ,1000,Aveces ,Variable / Otro,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de tiempo,Atractivo de turistas,Valioso,Confiabilidad ,Muy valioso,Recomendaciones a turistas,3.0,Dispuesto,Mayor Visibilidad y Promoción,Confiabilidad,Compromiso y ayuda a que haya más turismo 
Alimentos y Bebidas,Más de 10 años,Redes sociales,No siempre veo resultados claros,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",Sí,Turistas,Cansado,Después de verano y en día de muertos,Variable / Otro,Infraestructura y Acceso,Fácil / Accesible,Sin Malas Experiencias,Falta de conocimientos digitales,Más ventas ,Neutral,Ganacias,Neutral,Contacto directo con turistas,3.0,Neutral,Resultados Tangibles (Ventas/Ingresos),Promocion,Apoyo
Artesanías y Comercio,4–10 años,Redes sociales,Las plataformas digitales me ayudan,De boca a boca,"Redes sociales, Plataformas, De boca a boca",Sí,Turistas ,Con trabajo,En los regresos de clases,Variable / Otro,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que sea confiable y que ayude a la promocion ,Valioso,Mayor promoción ,Valioso,Recomendaciones a turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Que me promocionaron más ,Confiable y que sea productiva a los locatarios
Artesanías y Comercio,Más de 10 años,No me promociono,Mantener redes sociales es complicado,Otro: Por visitas de turistas,"De boca a boca, Redes sociales, Recomendaciones",No,Turistas ,Con mucho trabajo,Vacaciones de veran,Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de tiempo,Confiablen y comprometida y se le de seguimiento ,Valioso,Garantia,Valioso,Contacto directo con turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Mayor promocion,Mayor  trabajo
Artesanías y Comercio,4–10 años,No me promociono,No siempre veo resultados claros,De boca a boca,"Recomendaciones, Plataformas",Sí,Que buscan medicamentos ,Bien,En vacaciones ,Temporada Vacacional,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Falta de conocimientos digitales,Que muestre los resultados reales,Valioso,Que se muestre,Valioso,Estadísticas de visitas,5.0,Neutral,Otros / Indeciso,La ubicación ,Que me promocione
Hospedaje,4–10 años,Recomendación directa,Las plataformas digitales me ayudan,De boca a boca,"Recomendaciones, Ferias, De boca a boca",No,Turistas ,Tranquilo,En vacaciones y normal en los otros dias,Temporada Vacacional,Otro Factor / No Especifica,Fácil / Accesible,Fraudes o Estafas,Falta de visibilidad,Que funcione y sea confiable,Neutral,Recomendaciones,Neutral,Mayor visibilidad,5.0,Neutral,Aprendizaje y Capacitación,Que sea gratis,Que sea confiable y este al dia
Actividades y Experiencias,Más de 10 años,Redes sociales,No siempre veo resultados claros,Recomendaciones,"Redes sociales, Recomendaciones, De boca a boca",No,"Contamos con servicio de temazcal donde primero recibirás un agradable y aromático baño de barro, que te dejará una sensación de limpieza no solamente física sino espiritual, los enjuagamos con infusiones de plantitas medicinales y aromáticas recién cortadas que te inundan en sensaciones de cobijo como si fuera un apapacho de la medicina de la madre tierra, y para que no se nos enfríen los invitamos a pasar al fueguito, donde están las abuelitas calentándose, las abuelitas son las rocas volcánicas, después los pasamos al área de sahumacion donde realizamos la ceremonia prehispánica y realizamos una limpia con copal y toque de atecocolli, y nos llenamos de energía con el cuarzo...proseguimos con el sagrado baño de temazcal de 4 puertas con diferentes infusiones y dinámicas dentro del temazcal.   En el masaje terapéutico lo realizamos de pies a cabeza, alineamos el sistema nervioso, descontracturan os relajamos los músculos y alineamos el sistema óseo con aromaterapia y musicoterapia, también contamos con servicio de alimentos todos nuestros alimentos son frescos del día ,queso de rancho, tortillas de comal, agua de frutas frscas","Es un día lleno de vida, y de agradecimiento por permitirnos ayudar a las personas que lo necesitan y terminamos exhaustos pero contentos por los comentarios de los visitantes que nos indican que realmente rebasamos sus expectativas del servicio y se van muy agradecidos.",Económicamente ,Variable / Otro,Infraestructura y Acceso,Difícil / Complicado,Fraudes o Estafas,Falta de visibilidad,Resultados más clientes y más citas.,Muy valioso,Facilidad y claridad seguridad.,Muy valioso,Recomendaciones a turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Que desde que bajan del avión los redireccione y recomienden con nosotros.,300%incremento de ventas.
Artesanías y Comercio,Más de 10 años,No me promociono,Las plataformas digitales me ayudan,Recomendaciones,"Redes sociales, Plataformas, De boca a boca",No,Puras figuras de barro y demás artesanías como llaveros pulseras dije,Este puede ser un poco tranquilo porque ahorita en su momento no ha llegado mucho mucho turismo Y entonces ahí fallando uno más o menos en tiempos,Las temporadas altas es cuando hay un poco más de gente y es donde se puede obtener algún poquito más pero no siempre ahorita la la economía y el como están las empresas no no no no y cuando no hay tu ritmo Pues sí no se afecta no sé hay que estar al día al día para poder sacar algo7,Impacto Económico / Baja Afluencia,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,No pues este eso es lo que les enseñaré a que se proporcionara más el turismo para poder tener este más que nada aquí visitar mucho o sea la zona arqueológica no que es lo un algo histórico o algo de los antepasados no de a que vengan a conocer todo eso no todo toda la cultura,Muy valioso,Nada más sería la si se usara eso nada más sería algún beneficio es lo mismo pues repetitivamente que la que haya más promoción a la zona no a la zona turística que estuvo la y nada más Tula porque pues hay varios lugares también pero aquí en Tula sigue que se hiciera más este promociones en ese sentido de visitar,Neutral,Mayor visibilidad,4.0,Muy dispuesto,Otros / Indeciso,Confianza,
Artesanías y Comercio,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,Recomendaciones,"Recomendaciones, De boca a boca, Redes sociales",No,Artesanías y turismo  nacional ,Tranquilo ,"Si, pocos  ingresos ",Impacto Económico / Baja Afluencia,Falta de Publicidad / Visibilidad,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que aumente  la publicidad ,Valioso,Confiable ,Valioso,Mayor visibilidad,3.0,Neutral,Resultados Tangibles (Ventas/Ingresos),Difusión  amplia ,Confiable 
Artesanías y Comercio,Más de 10 años,No me promociono,No siempre veo resultados claros,Ferias,"Recomendaciones, Ferias, De boca a boca",No,Artesanías y poco extranjero ,Pocas ventas ,Si afecta ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,Que  sea segura ,Valioso,Capacitación ,Valioso,Recomendaciones a turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Difusión ,Aumentar  ventas 
Artesanías y Comercio,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,Ferias,"Recomendaciones, Ferias, De boca a boca",No,Visitante y extranjero ,Pocas ventas ,En los ingresos ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,La seguridad ,Neutral,Seguridad  y capacitación ,Neutral,Mayor visibilidad,3.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Mayor  difusión,Confiabilidad 
Artesanías y Comercio,Más de 10 años,No me promociono,No siempre veo resultados claros,Recomendaciones,"Recomendaciones, De boca a boca, Ferias",No,Nacional y extranjero,Sábado  y domingo ,En los ingresos ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que  sea segura ,Valioso,Sencilla ,Neutral,Mayor visibilidad,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Mayor  difusión ,Confiable 
Artesanías y Comercio,4–10 años,Recomendación directa,No siempre veo resultados claros,Ferias,"Recomendaciones, De boca a boca",No,Nacional ,Aumentan ventas ,En los ingresos ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que sea segura ,Valioso,Difusión ,Valioso,Recomendaciones a turistas,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Mayor  difusión ,Mayor  difusión 
Artesanías y Comercio,Más de 10 años,Recomendación directa,Me cuesta trabajo atraer visitantes,Recomendaciones,"Recomendaciones, De boca a boca, Ferias",No,Nacional ,Domingo ,21 de marzo y semana santa ,Temporada Vacacional,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,Seguridad ,Valioso,Seguridad ,Valioso,Contacto directo con turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Difusión ,Confiable 
Hospedaje,4–10 años,Redes sociales,No siempre veo resultados claros,Redes sociales,"Recomendaciones, Redes sociales, De boca a boca",Sí,De todo,"Muy movido, pero satisfactorio",E. La economía ,Impacto Económico / Baja Afluencia,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Quesería para promocionar y se vean resultados ,Valioso,Resultados ,Valioso,Recomendaciones a turistas,3.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Que promocione mi negocio ,Que se vea reflejado el apoyo a mi negocio
