Id,Tipo de Servicio que se ofrece: ,Tipo de Servicio que se ofrece:  (Otro),Años de operación:,¿Cómo te promocionas actualmente?,¿Cómo te promocionas actualmente? (Otro),¿Cómo describes la función de promoción actualmente?,¿Cómo te das a conocer actualmente?,¿Cómo te das a conocer actualmente? (Otro),De esos medios: Elige 3 que realmente te traen clientes.,De esos medios: Elige 3 que realmente te traen clientes. (Otro),¿Usas alguna app o plataforma para promocionar tu servicio? ¿Cómo ha sido tu experiencia?,Cuéntame un poco sobre tu negocio o servicio. ¿Qué ofreces y a qué tipo de visitantes atiendes normalmente?,¿Cómo es un día normal para ti cuando tienes visitantes o clientes?,¿Hay temporadas donde tienes muchos visitantes y otras donde casi no llegan? ¿Cómo te afecta eso?,¿Cuál dirías que es el principal problema que enfrentas para atraer más visitantes?,"¿Qué tan fácil o difícil te resulta usar herramientas digitales para promocionarte?
",¿Has tenido alguna mala experiencia con plataformas digitales o redes sociales? ¿Qué pasó?,"Menciona ¿Cuál consideras sería la principal dificultad?
",¿Qué te haría confiar en una plataforma turística del gobierno del estado?,¿Qué tan valioso sería para ti aparecer en una app oficial que recomiende tu servicio a los visitantes?,"Si esa app existiera, ¿qué debería ofrecerte para que realmente la usaras?",¿Qué tan valioso consideras sería aparecer en una app turística oficial?,¿Qué funciones te resultarían más útiles?,En una escal del 1 al 5; donde 1 es nada y 5 totalmente. ¿Qué tanto confiaría en una plataforma que es oficial y gratuita?,"¿Qué tan dispuesto estarías a mantener tu información actualizada (por ejemplo de horarios, precios, fotos)?",¿Qué te motivaría a seguir usando la plataforma en el tiempo?,"Si pudieras pedirle algo a una plataforma turística para apoyar tu negocio, ¿qué sería?
","En una frase, ¿qué esperas de una plataforma turística del estado?"
35,Otro: Turismo de salud,,Más de 10 años,Redes sociales,,No siempre veo resultados claros,Recomendaciones,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,"Contamos con servicio de temazcal donde primero recibirás un agradable y aromático baño de barro, que te dejará una sensación de limpieza no solamente física sino espiritual, los enjuagamos con infusiones de plantitas medicinales y aromáticas recién cortadas que te inundan en sensaciones de cobijo como si fuera un apapacho de la medicina de la madre tierra, y para que no se nos enfríen los invitamos a pasar al fueguito, donde están las abuelitas calentándose, las abuelitas son las rocas volcánicas, después los pasamos al área de sahumacion donde realizamos la ceremonia prehispánica y realizamos una limpia con copal y toque de atecocolli, y nos llenamos de energía con el cuarzo...proseguimos con el sagrado baño de temazcal de 4 puertas con diferentes infusiones y dinámicas dentro del temazcal.   En el masaje terapéutico lo realizamos de pies a cabeza, alineamos el sistema nervioso, descontracturan os relajamos los músculos y alineamos el sistema óseo con aromaterapia y musicoterapia, también contamos con servicio de alimentos todos nuestros alimentos son frescos del día ,queso de rancho, tortillas de comal, agua de frutas frscas","Es un día lleno de vida, y de agradecimiento por permitirnos ayudar a las personas que lo necesitan y terminamos exhaustos pero contentos por los comentarios de los visitantes que nos indican que realmente rebasamos sus expectativas del servicio y se van muy agradecidos.",Económicamente ,"El camino , y falta de transporte turístico de la zona arqueológica al temazcal y realizar una gran difusión en la ciudad de México.",Y si es complicado manejarlas y realizar campañas provisionales que verdaderamente funcionen con un retorno de inversión ,Inviertes dinero y no se ven los resultados.,Falta de visibilidad,Resultados más clientes y más citas.,Muy valioso,Facilidad y claridad seguridad.,Muy valioso,Recomendaciones a turistas,4,Dispuesto,Resultados favorables,Que desde que bajan del avión los redireccione y recomienden con nosotros.,300%incremento de ventas.
36,Artesanía,,Más de 10 años,No me promociono,,Las plataformas digitales me ayudan,Recomendaciones,,"Redes sociales, Plataformas, De boca a boca",,FALSO,Puras figuras de barro y demás artesanías como llaveros pulseras dije,Este puede ser un poco tranquilo porque ahorita en su momento no ha llegado mucho mucho turismo Y entonces ahí fallando uno más o menos en tiempos,Las temporadas altas es cuando hay un poco más de gente y es donde se puede obtener algún poquito más pero no siempre ahorita la la economía y el como están las empresas no no no no y cuando no hay tu ritmo Pues sí no se afecta no sé hay que estar al día al día para poder sacar algo7,No pues ahora sí que defender es el o ese darle publicidad para que el turismo venga pero también así como están al día al día las cosas Pues también ya ya es poco el turismo que puede llegar o puede o puede llegar o puede llegar más no entonces lo que tenemos en el día a día,Yo creo que nada más Sería cuestión de adaptarse a ella y ver en qué momento subir lo que puede ser para para una red de un producto algo,No,Falta de visibilidad,No pues este eso es lo que les enseñaré a que se proporcionara más el turismo para poder tener este más que nada aquí visitar mucho o sea la zona arqueológica no que es lo un algo histórico o algo de los antepasados no de a que vengan a conocer todo eso no todo toda la cultura,Muy valioso,Nada más sería la si se usara eso nada más sería algún beneficio es lo mismo pues repetitivamente que la que haya más promoción a la zona no a la zona turística que estuvo la y nada más Tula porque pues hay varios lugares también pero aquí en Tula sigue que se hiciera más este promociones en ese sentido de visitar,Neutral,Mayor visibilidad,4,Muy dispuesto,Mucho,Confianza,
37,Artesanía,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,Recomendaciones,,"Recomendaciones, De boca a boca, Redes sociales",,FALSO,Artesanías y turismo  nacional ,Tranquilo ,"Si, pocos  ingresos ",Falta  de publicidad y apertura  del museo ,Difícil ,No,Falta de visibilidad,Que aumente  la publicidad ,Valioso,Confiable ,Valioso,Mayor visibilidad,3,Neutral,Que  haya resultados ,Difusión  amplia ,Confiable 
38,Artesanía,,Más de 10 años,No me promociono,,No siempre veo resultados claros,Ferias,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Artesanías y poco extranjero ,Pocas ventas ,Si afecta ,La difusión ,Difícil ,No,Pocos clientes,Que  sea segura ,Valioso,Capacitación ,Valioso,Recomendaciones a turistas,4,Dispuesto,Aumento  de ventas ,Difusión ,Aumentar  ventas 
39,Artesanía,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,Ferias,,"Recomendaciones, Ferias, De boca a boca",,FALSO,Visitante y extranjero ,Pocas ventas ,En los ingresos ,Falta  de difusión ,Muy difícil ,No,Pocos clientes,La seguridad ,Neutral,Seguridad  y capacitación ,Neutral,Mayor visibilidad,3,Dispuesto,Aumento  de ventas ,Mayor  difusión,Confiabilidad 
40,Artesanía,,Más de 10 años,No me promociono,,No siempre veo resultados claros,Recomendaciones,,"Recomendaciones, De boca a boca, Ferias",,FALSO,Nacional y extranjero,Sábado  y domingo ,En los ingresos ,Difusión ,Difícil ,No,Falta de visibilidad,Que  sea segura ,Valioso,Sencilla ,Neutral,Mayor visibilidad,4,Dispuesto,que aumenten los ingresos ,Mayor  difusión ,Confiable 
41,Artesanía,,4–10 años,Recomendación directa,,No siempre veo resultados claros,Ferias,,"Recomendaciones, De boca a boca",,FALSO,Nacional ,Aumentan ventas ,En los ingresos ,Falta  de difusión ,Difícil ,No,Falta de visibilidad,Que sea segura ,Valioso,Difusión ,Valioso,Recomendaciones a turistas,5,Dispuesto,Que  se vea reflejado  en las ventas ,Mayor  difusión ,Mayor  difusión 
42,Artesanía,,Más de 10 años,Recomendación directa,,Me cuesta trabajo atraer visitantes,Recomendaciones,,"Recomendaciones, De boca a boca, Ferias",,FALSO,Nacional ,Domingo ,21 de marzo y semana santa ,Difusión ,Difícil ,No,Pocos clientes,Seguridad ,Valioso,Seguridad ,Valioso,Contacto directo con turistas,4,Dispuesto,Aumentar  ingresos ,Difusión ,Confiable 
43,Hospedaje,,4–10 años,Redes sociales,,No siempre veo resultados claros,Redes sociales,,"Recomendaciones, Redes sociales, De boca a boca",,VERDADERO,De todo,"Muy movido, pero satisfactorio",E. La economía ,Competencia ,Dificil,No,Falta de conocimientos digitales,Quesería para promocionar y se vean resultados ,Valioso,Resultados ,Valioso,Recomendaciones a turistas,3,Dispuesto,Resultados ,Que promocione mi negocio ,Que se vea reflejado el apoyo a mi negocio
44,Guía / experiencia,,Más de 10 años,Redes sociales,,Las plataformas digitales me ayudan,Redes sociales,,"Redes sociales, Recomendaciones, De boca a boca",,VERDADERO,Recorridos turísticos y noche de leyendas,"Activo, ventas altas",Se vende poco,Caminos y carreteras,Nada difícil ,No,Falta de tiempo,Experiencia fácil del usuario ,Valioso,Ser de fácil uso y que la use el turista para conectar con la marca,Valioso,Contacto directo con turistas,4,Muy dispuesto,Obtener beneficios ,Que busque que sea atractiva para el turista,Eficiente
45,Guía / experiencia,,Más de 10 años,Redes sociales,,Las plataformas digitales me ayudan,Redes sociales,,"Redes sociales, Recomendaciones, Plataformas",,VERDADERO,"Turismo de aventura , turistas nacionales e internacionales ",Tranquilo entresemanamovido fines de semana y días festivos,No afecta normalmente hay clientes ,La competencia ,Es facil,No,Costos de publicidad,"Facilidad, heramientas que proporcionen, actualiaza y sin costo, ",Muy valioso,"El costo, el alcance y la magnitud de difusión ",Valioso,Perfil verificado,5,Muy dispuesto,Que me de resultados ,Que el resultado de promocionarme en la plataforma se refleje en mi economía ,Mayores ganancia e incremento de clientes 
