Id,1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,"3. ¿Con qué género te identificas?
","4. ¿Con qué frecuencia realizas viajes dentro de México?
","5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
 (Otro)",7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo. (Otro),8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases: (Otro),9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística? (Otro),"10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?
","11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”
",12. ¿Qué tipo de información consideras más importante?,12. ¿Qué tipo de información consideras más importante? (Otro),13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar? (Otro),"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?
",15. ¿Qué funciones consideras indispensables en una app de viajes?,15. ¿Qué funciones consideras indispensables en una app de viajes? (Otro),16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
","17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
 (Otro)"
12,Hidalgo,Cuautepec de Hinojosa,30–39 años,Hombre,Varias veces al año,4 veces o más,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Uso sin conexión,,Exceso de publicidad,Hidalgo mágico ,
13,Estado de México,,18–29 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,,Apps de viaje,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta","Recomendaciones 
",
14,Estado de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,3,Mapas y rutas,,Información desactualizada,,2,Rutas sugeridas,,"Exceso de publicidad, Mala experiencia de uso",Mejorar los mapas,
15,Estado de México,,40–49 años,Hombre,Esporádicamente,2 veces,Cultura / Historia,,Redes sociales,,Me generan seguridad para tomar decisiones,,Cercanía / ubicación,,5,5,Seguridad,,Información desactualizada,,5,Información verificada,,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Confiabilidad ,
16,Estado de México,,40–49 años,Mujer,Esporádicamente,2 veces,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Claridad,
17,Ciudad de México,,30–39 años,Mujer,Una vez al año,2 veces,Gastronomía,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,4,4,Mapas y rutas,,Información desactualizada,,1,Recomendaciones locales confiables,,Información falsa o incompleta,Confiable ,
18,Estado de México,,30–39 años,Mujer,Varias veces al año,2 veces,Cultura / Historia,,Google,,Evito apps que parecen publicidad disfrazada,,Fotos reales,,5,5,Recomendaciones cercanas,,Demasiadas opciones sin guía,,4,Eventos y experiencias locales,,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta, Falta de valor real","Que tenga información de atracciones,  eventos,  comidas o cosas típicas.",
19,Ciudad de México,,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Eventos o actividades del día,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea innovadora en tecnología ,
20,Estado de México,,18–29 años,Hombre,Varias veces al año,1 vez,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,2,2,Mapas y rutas,,Demasiadas opciones sin guía,,1,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Fácil de usar ,
21,Ciudad de México,,30–39 años,Mujer,Una vez al año,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,2,Mapas y rutas,,Información desactualizada,,2,Información verificada,,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real",Confiable ,
22,Ciudad de México,,30–39 años,Mujer,Varias veces al año,1 vez,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Seguridad,,Información desactualizada,,5,Uso sin conexión,,Mala experiencia de uso,Información verdidica,
23,Estado de México,,30–39 años,Mujer,Esporádicamente,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,4,Mapas y rutas,,Falta de información en el momento exacto,,1,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Rapidez,
24,Ciudad de México,,30–39 años,Hombre,Una vez al año,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,3,3,Horarios actualizados,,Información desactualizada,,1,Rutas sugeridas,,Información falsa o incompleta,Confiable ,
25,Estado de México,,40–49 años,Hombre,Esporádicamente,2 veces,Descanso / relajación,,Google,,Confío en sus recomendaciones,,Recomendación local,,5,5,Recomendaciones cercanas,,Falta de información en el momento exacto,,5,Información verificada,,Información falsa o incompleta,Confiabilidad en la información ,
26,Ciudad de México,,30–39 años,Mujer,Varias veces al año,2 veces,Naturaleza,,Google,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,3,Mapas y rutas,,Información desactualizada,,2,Recomendaciones locales confiables,,Información falsa o incompleta,Confiable ,
27,Ciudad de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Seguridad,,Información desactualizada,,3,Información verificada,,Información falsa o incompleta,In formación De todo Mexico,
28,Ciudad de México,,40–49 años,Mujer,Una vez al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Precio,,5,5,Horarios actualizados,,Demasiadas opciones sin guía,,2,Rutas sugeridas,,Mala experiencia de uso,,
29,Ciudad de México,,18–29 años,Mujer,Una vez al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,5,Eventos o actividades del día,,Demasiadas opciones sin guía,,5,Información verificada,,Información falsa o incompleta,Actualizada y facil,
30,Ciudad de México,,30–39 años,Mujer,Esporádicamente,2 veces,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,1,1,Mapas y rutas,,Información desactualizada,,1,Recomendaciones locales confiables,,Información falsa o incompleta,Accesibilidad ,
31,Ciudad de México,,18–29 años,Mujer,Una vez al año,1 vez,Viaje Familiar,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,4,Seguridad,,Falta de información en el momento exacto,,2,Recomendaciones locales confiables,,Información falsa o incompleta,Que sea 100% segura ,
32,Estado de México,,18–29 años,Mujer,Varias veces al año,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,4,Recomendaciones cercanas,,Información desactualizada,,3,Comercios y servicios cercanos,,Exceso de publicidad,Veracidad y eficacia ,
33,Estado de México,,30–39 años,Mujer,Esporádicamente,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,Me generan seguridad para tomar decisiones,,Fotos reales,,5,5,Eventos o actividades del día,,Demasiadas opciones sin guía,,4,Eventos y experiencias locales,,Información falsa o incompleta,Que siempre se mantenga actualizada ,
34,Estado de México,,60 años o más,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Poca visibilidad de comercios locales,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones, Falta de valor real",Confiabilidad ,
35,Estado de México,,30–39 años,Hombre,Una vez al año,2 veces,Cultura / Historia,,Google,,La información suele ser clara y actualizada,,Cercanía / ubicación,,4,5,Horarios actualizados,,Información desactualizada,,4,Eventos y experiencias locales,,"Falta de valor real, No confiar en las recomendaciones",,
36,Hidalgo,Omitlán de Juárez,18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Recomendación local,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,Exceso de publicidad,Confiable certeza y cercanía ,
37,Jalisco,,30–39 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,4,5,Recomendaciones cercanas,,Falta de información en el momento exacto,,4,Recomendaciones locales confiables,,Información falsa o incompleta,LeGITIMIDAD,
38,Ciudad de México,,18–29 años,Mujer,Varias veces al año,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Horarios actualizados,,Poca visibilidad de comercios locales,,5,Eventos y experiencias locales,,Información falsa o incompleta,"Que sea segura, confiable y fácil de utilizar ",
39,Ciudad de México,,30–39 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Mapas y rutas,,Información desactualizada,,5,Información verificada,,Información falsa o incompleta,"Confiable





",
40,Ciudad de México,,18–29 años,Hombre,Varias veces al año,2 veces,Viaje Familiar,,Google,,Me generan seguridad para tomar decisiones,,Precio,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,5,Información verificada,,Exceso de publicidad,"Que sea confiable, sin tanta publicidad
",
41,Estado de México,,30–39 años,Mujer,Varias veces al año,1 vez,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Falta de información en el momento exacto,,4,Recomendaciones locales confiables,,Exceso de publicidad,Sumamente informativa,
42,Tlaxcala,,30–39 años,Mujer,Varias veces al año,2 veces,Naturaleza,,Blogs o influencers,,Confío en sus recomendaciones,,Fotos reales,,5,4,Mapas y rutas,,Recomendaciones poco confiables,,5,Recomendaciones locales confiables,,"Exceso de publicidad, Información falsa o incompleta, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",,
43,Estado de México,,18–29 años,Hombre,Varias veces al año,1 vez,Cultura / Historia,,Google,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Seguridad,,Información desactualizada,,3,Información verificada,,Información falsa o incompleta,Información confiable ,
44,Guanajuato,,30–39 años,Mujer,Una vez al año,1 vez,Viaje Familiar,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Poca visibilidad de comercios locales,,4,Recomendaciones locales confiables,,Exceso de publicidad,Recomendaciones locales ,
45,Coahuila,,50–59 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad",,
46,Ciudad de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,No busco inspiración; ya conozco los destinos,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Información desactualizada,,5,Eventos y experiencias locales,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Auténtica,
47,Ciudad de México,,40–49 años,Mujer,Varias veces al año,3 veces,4 veces o más,,Google,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,4,2,Seguridad,,Recomendaciones poco confiables,,3,Recomendaciones locales confiables,,Información falsa o incompleta,Confiable ,
48,Ciudad de México,,18–29 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso",Que tenga recomendaciones de locales y verías experiencias que no debes perderte ,
49,Estado de México,,18–29 años,Hombre,Esporádicamente,1 vez,Viaje Familiar,,Recomendaciones de amigos / familia,,Evito apps que parecen publicidad disfrazada,,Precio,,4,4,Seguridad,,Falta de información en el momento exacto,,4,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Fidelidad ,
50,Hidalgo,Tula de Allende,30–39 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,,Páginas oficiales de turismo,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,4,4,Recomendaciones cercanas,,Información desactualizada,,4,Información verificada,,Información falsa o incompleta,Eficiencia y credibilidad ,
51,Ciudad de México,,30–39 años,Mujer,Varias veces al año,1 vez,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,5,5,Eventos o actividades del día,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Confiabilidad ,
52,Estado de México,,30–39 años,Hombre,Varias veces al año,4 veces o más,Gastronomía,,Google,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,5,Eventos o actividades del día,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Confiable y fácil de usar,
53,Estado de México,,18–29 años,Mujer,Una vez al año,2 veces,4 veces o más,,Redes sociales,,Confío en sus recomendaciones,,Recomendación local,,4,3,Mapas y rutas,,Información desactualizada,,4,Información verificada,,Información falsa o incompleta,Sinceramente no descargaría una aplicación que solo utilizaría 1 o 2 veces por año,
54,Ciudad de México,,18–29 años,Mujer,Varias veces al año,2 veces,Aventura,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Cercanía / ubicación,,5,5,Recomendaciones cercanas,,Falta de información en el momento exacto,,5,Uso sin conexión,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso","Obtener seguridad, información y rutas reales para llegar al destino ",
55,Morelos,,30–39 años,Hombre,Varias veces al año,3 veces,Cultura / Historia,,Redes sociales,,Me generan seguridad para tomar decisiones,,Recomendación local,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confiabilidad ,
56,Estado de México,,18–29 años,Hombre,Esporádicamente,1 vez,Otro: Una mezcla de todos estos factores,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,3,3,Seguridad,,Demasiadas opciones sin guía,,4,Rutas sugeridas,,Exceso de publicidad,Cultura,
57,Ciudad de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Cultura / Historia,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,3,Horarios actualizados,,Información desactualizada,,4,Recomendaciones locales confiables,,Información falsa o incompleta,"Horarios actualizados, mapas ",
58,Ciudad de México,,40–49 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,5,5,Eventos o actividades del día,,Demasiadas opciones sin guía,,5,Recomendaciones locales confiables,,Información falsa o incompleta,"Que ofrezca opciones turísticas confiables, actualizadas y verídicas para aprovechar el tiempo de visita",
59,Tlaxcala,,18–29 años,Mujer,Muy rara vez,1 vez,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Confiabilidad ,
60,Estado de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Poca visibilidad de comercios locales,,1,Recomendaciones locales confiables,,Exceso de publicidad,Ninguna,
61,Estado de México,,30–39 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Evito apps que parecen publicidad disfrazada,,Fotos reales,,3,3,Recomendaciones cercanas,,Recomendaciones poco confiables,,5,Comercios y servicios cercanos,,Información falsa o incompleta,"Información,
Completa y fotos reales",
62,Estado de México,,18–29 años,Mujer,Varias veces al año,2 veces,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Fotos reales,,3,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,Exceso de publicidad,Fantaseo,
63,Ciudad de México,,18–29 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,4,Información verificada,,Información falsa o incompleta,Opiniones de más usuarios ,
64,Hidalgo,Huasca de Ocampo,18–29 años,Hombre,Una vez al año,3 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,4,Mapas y rutas,,Poca visibilidad de comercios locales,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Un viaje seguro hace la diferencia ,
65,Tamaulipas,,18–29 años,Hombre,Una vez al año,1 vez,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Excelente,
66,Baja California,,60 años o más,Hombre,Varias veces al año,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Horarios actualizados,,Falta de información en el momento exacto,,4,Información verificada,,"Falta de valor real, Mala experiencia de uso, Información falsa o incompleta",Confíanza,
67,Hidalgo,Tizayuca,18–29 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Eventos o actividades del día,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real","Diversión,seguridad y confianza ",
68,Ciudad de México,,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,4,Eventos o actividades del día,,Información desactualizada,,4,Eventos y experiencias locales,,Información falsa o incompleta,Que me ofrezca información formación. Veraz ,
69,Ciudad de México,,40–49 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,5,3,Eventos o actividades del día,,Recomendaciones poco confiables,,3,Información verificada,,Información falsa o incompleta,I formación verídica ,
70,Estado de México,,40–49 años,Mujer,Esporádicamente,1 vez,Viaje Familiar,,Google,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Eventos o actividades del día,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones, Falta de valor real",Que describa todo la informacion necesaria del lugar a VISITAR ,
71,Hidalgo,Tepeapulco,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,5,5,Eventos o actividades del día,,Recomendaciones poco confiables,,5,Recomendaciones locales confiables,,Información falsa o incompleta,,
72,Hidalgo,Apan,50–59 años,Hombre,Varias veces al año,4 veces o más,Viaje Familiar,,No busco inspiración; ya conozco los destinos,,La información suele ser clara y actualizada,,Cercanía / ubicación,,5,5,Eventos o actividades del día,,Información desactualizada,,5,Uso sin conexión,,"Exceso de publicidad, Información falsa o incompleta",,
73,Ciudad de México,,40–49 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Bu3na experiencia,
74,Estado de México,,30–39 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información verifi cada ,
75,Ciudad de México,,,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,5,Eventos o actividades del día,,Información desactualizada,,5,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, No confiar en las recomendaciones",Buenas recomendaciones ,
76,Estado de México,,40–49 años,Mujer,Varias veces al año,4 veces o más,Cultura / Historia,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Cercanía / ubicación,,4,5,Mapas y rutas,,Información desactualizada,,4,Información verificada,,Mala experiencia de uso,Información real,
77,Baja California,,30–39 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Poca visibilidad de comercios locales,,5,Eventos y experiencias locales,,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Buenas recomendaciones ,
